product_name,price (INR),rating,URL,reviews
(India) Dell EcoLoop Urban Backpack - Gray - CP4523G,"1,899",3.8 out of 5 stars,https://www.amazon.in/India-Dell-EcoLoop-Urban-Backpack/dp/B0B2PXNW6Z/ref=sr_1_224?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-224,15
"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Black)",509,3.7 out of 5 stars,https://www.amazon.in/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NX7HTX/ref=sr_1_225?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-225,158
"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres","1,124",4.3 out of 5 stars,https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJ64SH/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-226,24
WHITECRAFT Polyester 30 Liter Waterproof Backpack for Men & Women| Fits upto 12-17 Inch Laptop Bag | Travel/Business/College/Casual Daypacks,386,N/A,https://www.amazon.in/WHITECRAFT-Polyester-Waterproof-Backpack-Business/dp/B0CJJQWK72/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-227,N/A
Ezee Black Large Garbage Bags 30 Pcs | 24 x 32 Inch | 15 Pcs x Pack of 2 | Dustbin Trash Bag,119,4.3 out of 5 stars,https://www.amazon.in/Ezee-Garbage-Bag-Pieces-Medium/dp/B06VX7PDXC/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1697644703&sprefix=ba%2Caps%2C283&sr=8-228,"10,344"
Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,"1,009",4.4 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE1MTM4OTc0MTMzNjU1OjE2OTc2NDQ3MDM6c3BfYnRmOjMwMDA2Nzg4NzQxNjIzMjo6MDo6&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_229_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-229-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,138
"URBAN TRIBE Accelerator 30L Laptop Backpack for Men and Women | Laptop Bag 15.6 inch | Office Bag | Work, Business, Casual, College | Black","1,498",4.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE1MTM4OTc0MTMzNjU1OjE2OTc2NDQ3MDM6c3BfYnRmOjMwMDA3MTkxNTM1OTMzMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Accelerator%2Fdp%2FB01M6WLGH0%2Fref%3Dsr_1_230_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-230-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,564
"WALKENT 15.6"" Laptop Bags with Special Waterproof Silk Polyester Material for Office, College, Men & Women (Model Hazel, 20 Liters, Black)","2,190",4.3 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQzMDYwNDM5NDAzNjU1OjE2OTc2NDQ3MDQ6c3BfYXRmX25leHQ6MzAwMDA2Nzc0NzgzMTMyOjowOjo&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644704%26sprefix%3Dba%252Caps%252C283%26sr%3D8-225-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,27
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQzMDYwNDM5NDAzNjU1OjE2OTc2NDQ3MDQ6c3BfYXRmX25leHQ6MjAwOTEwODkyNDY4OTg6OjA6Og&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BJ32LQ6X%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644704%26sprefix%3Dba%252Caps%252C283%26sr%3D8-226-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"3,853"
"DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey, 25 x 10 x 20 CM)",545,4.0 out of 5 stars,https://www.amazon.in/DAHSHA-Sling-Messenger-Bag-Grey/dp/B09CGDFNBV/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-227,860
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,339,3.8 out of 5 stars,https://www.amazon.in/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-228,"2,612"
"AirCase Office Sling Messenger Bag fits upto 14.1"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue",729,4.0 out of 5 stars,https://www.amazon.in/AirCase-C24-Messenger-Shoulder-Compartments/dp/B07Y3DB5YZ/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-229,"1,750"
"Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack",689,3.8 out of 5 stars,https://www.amazon.in/Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-230,199
Aristrocrat Unisex Laptop Bag Grey,663,4.4 out of 5 stars,https://www.amazon.in/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-231,36
Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange),698,4.2 out of 5 stars,https://www.amazon.in/Dyazo-Resistant-Photographers-Compatible-Panasonic/dp/B0BWWD1QQQ/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-232,733
Safari RAY VOYAGE 53 Cms Small Cabin Polycarbonate (PC) Hard Sided 4 Wheels 360 Degree Wheeling System Printed Luggage/Suitcase/Trolley Bag (Blue),"2,299",3.9 out of 5 stars,https://www.amazon.in/Safari-Polycarbonate-Printed-Hardsided-Luggage/dp/B08CRYJMQC/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-233,"2,578"
Wildcraft Unisex Zip Closure Backpack (Green_Free Size),"1,019",4.4 out of 5 stars,https://www.amazon.in/Wildcraft-Music-Backpack-Green-11954/dp/B07N2SBX54/ref=sr_1_234_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-234,384
"STRABO Defender Laptop Bag, Light weight & Water resistant - Color Olive 35L, Unisex Bag",999,4.5 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQzMDYwNDM5NDAzNjU1OjE2OTc2NDQ3MDQ6c3BfbXRmOjMwMDAxNDkzMTQ4NDczMjo6MDo6&url=%2FSTRABO-Defender-Laptop-weight-resistant%2Fdp%2FB0C9H8W6K6%2Fref%3Dsr_1_235_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644704%26sprefix%3Dba%252Caps%252C283%26sr%3D8-235-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,25
